lead_id,name,email,mobile,company,website,source,industry,followups,score,isConverted
L00044,Michael Richardson,landryjennifer@example.net,1288471032,"Miranda, Brown and Underwood",http://booker.com/,Event,Healthcare,6,28,No
L00045,Edward Branch,cowen@example.net,1952907505,"Ray, Thomas and Grant",https://www.lucas.org/,Referral,Education,4,64,Yes
L00046,Michelle Dunn,zbaker@example.net,1447745862,"Ford, White and Vincent",http://cummings.org/,Website,Education,9,60,Yes
L00047,Alexis Lucas PhD,masontheresa@example.com,4970804823,"Ballard, Smith and Reyes",https://johnson.com/,Website,Retail,7,54,No
L00048,Vincent Pruitt,andrewward@example.com,2649750054,"Logan, Brooks and Jacobson",http://www.evans.com/,LinkedIn,Education,10,48,No
L00049,Tiffany Parker,robert03@example.net,6646001785,Hardy-Ellis,https://www.reynolds.net/,Event,Retail,0,70,No
L00050,Rebecca Glover,maryriley@example.net,4071393866,Flores PLC,https://horton.info/,LinkedIn,Healthcare,2,27,No
L00051,Sara Bautista,xhernandez@example.net,6820091009,"Scott, Martin and Curtis",http://wright-thomas.org/,Email Campaign,Education,4,42,No
L00052,Paige Reese,kennedykenneth@example.com,0264701976,Mays Inc,http://mitchell-martinez.net/,Website,Healthcare,5,23,No
L00053,Amy Thomas,ianstein@example.com,0342329776,Johnson-Morgan,https://www.sullivan-tran.com/,Partner,Education,4,31,No
L00054,Jennifer Castillo,nicole35@example.com,6604937771,Gordon PLC,https://www.carter-pollard.com/,Cold Call,Education,5,88,Yes
L00055,Joshua Richardson,lauriedaniels@example.net,0635083776,Jimenez-Gilbert,https://www.kerr.net/,LinkedIn,Healthcare,6,59,Yes
L00056,Alexis Martinez,parkpatrick@example.org,6643583134,"Haynes, Salazar and Lopez",http://barrett-david.org/,Cold Call,IT,4,69,No
L00057,Dr. Belinda Kline,jeremyoconnell@example.com,2320462777,"Martin, Walker and Chen",https://www.garcia.info/,Event,Manufacturing,8,34,No
L00058,Robert Wheeler,jenniferdickerson@example.org,1476016010,"Garrett, Taylor and Neal",http://palmer.biz/,Partner,Education,1,38,No
L00059,Francisco Vasquez,sandovalpaul@example.org,1866477482,"Wilson, Stewart and Hutchinson",https://www.escobar.biz/,Referral,Healthcare,3,74,Yes
L00060,Shannon Cox,ztorres@example.org,1905984813,Rodriguez-Kelly,https://www.maddox-harris.com/,Event,Finance,10,43,Yes
L00061,David Hunt,freemanpamela@example.com,7207340732,Ryan Group,http://robinson-nelson.com/,Cold Call,IT,6,84,Yes
L00062,Richard Chambers,kbruce@example.com,8758296032,Galvan-Romero,http://warner-young.info/,Cold Call,Healthcare,4,52,No
L00063,Ashley Reeves,michaelduarte@example.org,3931484126,"Riley, Roberts and Jones",http://www.rhodes.com/,LinkedIn,Finance,10,53,No
L00064,Elizabeth Stone,sandracunningham@example.org,5696952949,Fisher-Thompson,http://black.com/,Event,Education,3,92,Yes
L00065,Robert Ballard,chungjoseph@example.net,6478781476,Walker PLC,http://www.nelson-parker.net/,Cold Call,Finance,1,45,No
L00066,Kimberly Davis,jack03@example.org,9928101907,Powell LLC,http://www.turner-johnson.com/,Email Campaign,Education,9,31,No
L00067,Rebecca Woods,andersonamanda@example.net,7122778442,Cox-Robinson,https://www.oconnor-gonzalez.org/,Referral,Healthcare,10,80,Yes
L00068,Jaclyn Mcclure,benjamin77@example.com,9446452370,Brooks-Smith,http://www.martinez.com/,Website,Education,9,30,Yes
L00069,George Anderson,hubbardjennifer@example.com,2545980623,"Castillo, Bray and Sims",https://banks.com/,Cold Call,Healthcare,0,87,Yes
L00070,Karl Ellis,taylormonique@example.com,8329738725,Martinez-Franklin,https://patel-boyer.com/,Cold Call,Finance,2,20,No
L00071,James Dean,uwest@example.com,8652133589,Johnson-Shelton,http://www.chavez-reed.com/,Event,IT,6,72,Yes
L00072,Rebekah Lee,vcampbell@example.net,9800078565,Frazier Inc,https://www.harris-collins.com/,Cold Call,Finance,6,87,Yes
L00073,Karen Myers,blane@example.com,5493488375,Benjamin-Moore,https://pope.com/,Referral,IT,1,77,Yes
L00074,Brian Duffy,cynthia35@example.org,6843049886,Kim PLC,http://www.gardner.org/,LinkedIn,Education,9,69,No
L00075,Jennifer Lee,amydoyle@example.com,6309255091,Ayala PLC,http://benton.com/,Referral,Retail,7,47,No
L00076,Andrea Chapman,mcdanielsean@example.com,4622212250,"Massey, Wong and Wiley",https://wheeler.org/,Event,Manufacturing,9,28,No
L00077,Scott Williams,patelgregory@example.net,0475213469,"Parker, Haynes and Wagner",http://www.johnson.com/,Email Campaign,Healthcare,8,36,No
L00078,Elizabeth Moss,peterhoover@example.org,8850321764,Goodman-Shaw,http://www.neal-watson.info/,Referral,Manufacturing,5,91,Yes
L00079,Kimberly Guerrero,sanchezjill@example.org,2752327692,"Black, Pierce and Vega",http://atkinson-thompson.com/,Website,Manufacturing,5,58,No
L00080,Jason Tran,dbarnes@example.com,0703273202,"Booth, Pena and Mckinney",https://jordan.com/,Referral,Retail,3,46,No
L00081,Katherine Berry,rmccormick@example.net,4454743162,Wolfe-Gonzales,http://rivas-ross.com/,Email Campaign,Manufacturing,6,82,Yes
L00082,Theresa Johnson,rebeccaspence@example.com,5105088238,Taylor-Atkinson,http://www.page.com/,Referral,Healthcare,1,90,Yes
L00083,Adrian Warren,wallsjames@example.org,9836814106,"Matthews, Fitzgerald and Romero",https://mckenzie.com/,Referral,Education,1,20,No
L00084,Megan Williams,victoriaguzman@example.org,0548654320,Hamilton-Weber,http://cortez-tucker.com/,Website,IT,9,88,Yes
L00085,Sheri Pena,kimberly90@example.com,7625952414,Duncan LLC,http://www.newton.biz/,LinkedIn,IT,2,57,No
L00086,Angela Hamilton,fbell@example.net,2006445528,Blake LLC,http://www.rowland.info/,Event,Retail,4,35,No
L00087,Kenneth Matthews,graysteven@example.com,9527139521,Martin-Olson,https://gallegos.com/,Referral,Finance,1,77,No
L00088,Lori Bright,garrettjessica@example.com,8901547244,Banks-Anderson,http://www.sandoval.com/,Partner,Manufacturing,0,89,Yes
L00089,Ashley Valdez,vhughes@example.com,9189008706,Gilmore-Lopez,http://www.lewis.com/,Website,Education,5,66,Yes
L00090,Brianna Oliver,traceywest@example.com,0923270350,Solis and Sons,https://www.carson.com/,Partner,Manufacturing,2,21,No
L00091,Joseph Burke,jade04@example.net,3026185541,Smith-Peterson,https://mack.com/,Referral,Healthcare,9,65,Yes
L00092,James Howard,martinkatrina@example.com,4663286142,"Friedman, Ross and Huynh",https://carrillo-garcia.com/,Website,IT,0,22,No
L00093,Joseph Howell,vramirez@example.org,6509836927,Allen-Stewart,http://may.biz/,Event,Retail,10,35,No
L00094,Shelly Ferguson,cookxavier@example.org,1010821875,"Mayer, Parker and Sullivan",https://www.conway.com/,Partner,Education,1,88,Yes
L00095,Corey Smith,codydouglas@example.com,2785550382,Clark Group,https://cruz-short.net/,LinkedIn,Finance,4,63,Yes
L00096,Matthew Wallace,matthewdaniels@example.net,5573031441,Miller Ltd,http://chapman.net/,Website,IT,8,40,Yes
L00097,Rachel Bailey,bryantmichael@example.net,4403568108,Shaffer-Silva,https://www.lewis.net/,Cold Call,Education,10,86,Yes
L00098,Tina Turner,briandelacruz@example.net,7158401498,"Moore, Park and Stewart",https://www.rosario.info/,Cold Call,Education,2,90,No
L00099,Wayne Riddle,natalie49@example.net,7641485238,Ingram-Oneal,https://harris-gates.com/,Cold Call,Manufacturing,5,35,No
L00100,Lisa Nichols,randy99@example.net,0180983830,"Brewer, Anderson and Dixon",http://www.jones.com/,LinkedIn,Finance,0,25,No
L00101,Cassandra Williams,rebekahwilliamson@example.com,7809938945,Reyes-Chavez,https://moore.com/,Email Campaign,Finance,5,41,No
L00102,Jeffrey Sandoval,annaclarke@example.net,4592711870,"Johnson, Matthews and Medina",http://www.brown-robertson.com/,Website,Retail,9,47,No
L00103,Sean Fox,teresacarr@example.net,2352384416,Rodriguez and Sons,https://brooks.org/,Referral,IT,5,88,Yes
L00104,Mark Singh,pphillips@example.org,5671969533,Burnett-Rivera,https://yates-humphrey.com/,Email Campaign,Education,10,36,No
L00105,Robert Taylor,rthomas@example.org,9088029486,Cole-Hardy,https://www.david.org/,Referral,Retail,3,90,Yes
L00106,Jose Cruz,traci22@example.net,3954809228,Sosa and Sons,http://www.brewer-maynard.biz/,Referral,Retail,2,39,Yes
L00107,Seth Henderson,james68@example.net,1290774819,"Warner, Lopez and Perez",https://wells.org/,Referral,Finance,1,63,Yes
L00108,Taylor Peterson,usmith@example.com,8966241483,"Gibson, Sanchez and Green",http://www.duncan.com/,Event,Retail,5,90,Yes
L00109,Jaime Scott,reedrobert@example.com,1828384158,"Davis, Bowman and Maldonado",http://weeks.info/,Website,Manufacturing,0,34,No
L00110,Daniel Webb,whitetyler@example.net,2368308771,"Perry, Walters and Powell",http://www.cortez.net/,Event,Education,7,87,Yes
L00111,Sarah Massey,jacob71@example.org,1714824986,"Martin, Clark and Gibson",https://keith.com/,Website,Retail,3,41,No
L00112,Susan Jones,oschroeder@example.org,5961512470,Castillo-Lynch,https://www.torres.com/,LinkedIn,Retail,5,83,Yes
L00113,Jennifer James,anthony31@example.org,6741388559,"Wilson, Cox and Rodriguez",http://www.petersen.com/,Email Campaign,Retail,4,52,No
L00114,Dana Bruce,douglasmorgan@example.com,1945320291,Nelson-Martin,http://maldonado.com/,Partner,Healthcare,9,81,Yes
L00115,Jennifer Morgan,jacobmartinez@example.net,9303714347,Price Ltd,http://www.wright-bell.org/,Partner,Retail,6,35,No
L00116,Pamela Sanders,michele81@example.org,3100450119,Davis Ltd,http://www.henry.com/,Referral,Education,9,76,Yes
L00117,Justin Torres,marissa42@example.net,6979342636,Newman PLC,http://www.duran.com/,Referral,IT,9,38,Yes
L00118,Rita Jackson,angelrobinson@example.org,6741962614,Meyer LLC,https://www.stein.net/,Partner,Healthcare,4,80,Yes
L00119,Emily Vang,kristi76@example.net,1916760141,Wilson and Sons,https://pugh-thompson.com/,Event,Finance,4,95,Yes
L00120,Judy Moore,rachelsawyer@example.net,0194417840,"Rivera, Vasquez and Thompson",https://www.bullock-johnson.net/,Cold Call,Education,4,62,No
L00121,Mary Foster,conleyjeffrey@example.org,0463183402,Hogan and Sons,http://george.org/,Email Campaign,Manufacturing,10,35,No
L00122,Sandra White,littlejessica@example.org,0701584780,"Taylor, Patrick and Lopez",https://www.wyatt.com/,Email Campaign,Healthcare,6,65,Yes
L00123,Curtis Sanchez,nhunter@example.net,1387759955,Murray LLC,https://cruz.com/,LinkedIn,Healthcare,7,48,Yes
L00124,Melissa Reynolds,staceyscott@example.com,4398252244,Owen Ltd,https://garcia.com/,Email Campaign,IT,3,34,No
L00125,Ashley Williams,crosssamantha@example.org,7679092711,"Snyder, Hutchinson and Hines",http://duncan.com/,Email Campaign,Education,9,88,Yes
L00126,Nicholas Lopez,alvareztracy@example.org,8459254923,Wilson Group,http://www.jones.com/,Event,Retail,0,89,Yes
L00127,John Edwards,troy80@example.com,2729318774,Grimes-Fernandez,http://www.novak-baldwin.com/,Event,Retail,2,92,Yes
L00128,Dylan Bullock,teresajacobson@example.org,6651413237,Burns-Gonzalez,http://www.booth.net/,Website,Education,7,56,No
L00129,Brian Hanson,wallen@example.com,5723413328,"Turner, Johnson and Foster",https://www.miller.net/,Referral,Education,10,41,No
L00130,Annette Collins,andrewkelly@example.org,3659262115,Anderson-Macias,http://www.gordon.com/,LinkedIn,Finance,9,30,Yes
L00131,Philip Estes,audrey73@example.org,2635465206,Phillips-Chavez,http://smith.com/,Partner,Education,0,61,No
L00132,Edwin Johnson,crystalgonzalez@example.net,9548904731,"Maldonado, Bullock and Poole",http://macdonald.com/,Partner,Education,5,47,No
L00133,Douglas Hill,kyle32@example.org,8982947401,Burton-Ayala,http://www.norman.info/,Email Campaign,Education,6,89,Yes
L00134,Carmen Watkins,rebeccabray@example.com,9900554108,Brown Inc,http://pierce.com/,Event,Healthcare,1,88,Yes
L00135,Mallory Thompson,gonzalezshannon@example.com,3546163917,Ramirez and Sons,http://www.chandler.info/,Cold Call,Education,0,26,No
L00136,Mark Stout,davisbrenda@example.com,5880255557,Lynch PLC,http://www.washington-adams.com/,Cold Call,IT,2,70,No
L00137,Paul Green,ncook@example.org,4792232452,Hernandez and Sons,http://www.martin.com/,Partner,IT,10,59,No
L00138,James Clark,ramossarah@example.org,1676637783,Lopez Inc,http://www.mann-williams.com/,Website,Finance,3,40,No
L00139,Lynn Jones,justin69@example.org,8349721808,Ortiz Ltd,https://www.gonzalez-jones.com/,LinkedIn,Finance,2,50,No
L00140,Scott Miller,qdouglas@example.net,5914879091,Short Inc,http://fletcher.com/,Cold Call,Education,7,66,Yes
L00141,Cynthia Martinez,cthomas@example.org,2431657059,"Banks, Newman and Blanchard",https://www.smith.com/,Website,Education,10,55,No
L00142,Shawna Taylor,moorerhonda@example.net,7446377937,Hill Group,http://www.ho.info/,Event,Education,5,79,Yes
L00143,John Montoya,amynelson@example.com,2126156135,"Carlson, Maxwell and Watson",http://willis-clark.com/,Email Campaign,Retail,10,95,Yes
L00144,Darren Frank,bryanerickson@example.net,2398464299,"Dodson, Kelly and Rodriguez",http://bailey.info/,Website,Healthcare,3,47,No
L00145,Taylor Martin,boyermatthew@example.net,0839354099,Garner-Sullivan,http://montgomery.com/,LinkedIn,Finance,4,37,No
L00146,Timothy Farmer,thompsonmichael@example.com,4471381760,Orozco-Singleton,http://www.duncan.biz/,Email Campaign,IT,8,65,No
L00147,John Ball,drice@example.net,3268275047,Morris-Nichols,https://newton-hughes.com/,Email Campaign,Manufacturing,2,91,Yes
L00148,Timothy Brown,shannoncaldwell@example.org,4016859777,Nelson-Kim,https://warren.com/,Referral,Retail,7,28,No
L00149,Susan Adams,matthewbishop@example.com,4296651471,Jones-Gardner,https://garcia-patterson.com/,Email Campaign,Healthcare,9,68,Yes
L00150,Darrell Peters,frankcampbell@example.org,2535531583,"Welch, Garcia and Perez",https://www.bailey.com/,Partner,Education,3,88,Yes
L00151,Joseph Murray,uhudson@example.net,4357726969,"Carr, Jackson and Larsen",https://www.howard-huber.biz/,Cold Call,Finance,0,55,No
L00152,Benjamin Long,benjamin31@example.net,4707180642,"Griffith, Salazar and Johnson",http://figueroa.com/,Cold Call,Healthcare,10,34,No
L00153,Jessica Lopez,dean00@example.net,4293466087,"Taylor, Hicks and Hubbard",http://rogers.org/,Website,Education,3,84,Yes
L00154,Amanda Garcia,cclark@example.org,4015440642,"Price, Moore and Martinez",http://barnett.biz/,Email Campaign,Manufacturing,9,92,Yes
L00155,Dave Cross,michael16@example.com,8686336219,Hayes LLC,https://crawford.com/,Referral,Education,0,52,No
L00156,Nancy Lewis,vfisher@example.net,8300798008,Newton PLC,https://montgomery.biz/,Email Campaign,Manufacturing,3,82,Yes
L00157,Joe Gibson,william30@example.net,9817948319,Smith-Barron,http://carter.com/,Event,Finance,3,28,No
L00158,Jamie Collins,johnhenderson@example.net,4530543543,"Cole, Matthews and Murray",http://oneill-johnson.net/,LinkedIn,Finance,7,82,Yes
L00159,Johnathan Munoz,joshua03@example.net,9114490518,Price PLC,https://conway.com/,Referral,Education,0,38,No
L00160,Michael Hopkins,kevinbarrera@example.com,4836095713,Smith-Ward,http://www.stewart.com/,Cold Call,Finance,2,28,No
L00161,Samantha Jensen,meyersdaniel@example.com,1451622681,Miles-Campbell,http://patel.biz/,Partner,Manufacturing,4,27,No
L00162,Jason Chapman,shirley10@example.net,2181226651,Hayes-Vaughn,http://www.calderon.biz/,Email Campaign,Education,7,80,Yes
L00163,Martha Maddox,millercrystal@example.net,7022958230,"Novak, Becker and Owens",https://acosta.com/,Website,Manufacturing,9,42,No
L00164,Wayne Lopez,xlewis@example.net,1443301329,Downs-Quinn,https://gonzalez.com/,Website,Healthcare,8,71,Yes
L00165,Cassidy Miles,tina68@example.com,0504941773,Lindsey LLC,https://walker.org/,LinkedIn,Manufacturing,7,40,No
L00166,Gabriel Smith,dawn48@example.com,9388077350,Fletcher-Griffin,http://simmons.com/,Event,IT,0,93,Yes
L00167,Michael Parks,nvasquez@example.net,2502909291,Moon-Chen,http://foster.net/,Referral,Manufacturing,7,49,Yes
L00168,Heidi Garza,cody38@example.net,3288099313,Brown-Henderson,https://gilbert.com/,Email Campaign,IT,1,27,No
L00169,George Douglas,parkerbrandon@example.net,2068645878,Baker-Smith,http://dixon.com/,Email Campaign,Education,9,43,No
L00170,Adrienne Nicholson,daniel75@example.org,6852607347,Jarvis-Neal,http://www.ashley-bowman.com/,Partner,Manufacturing,4,44,No
L00171,Linda Howard,smithchristopher@example.org,3879496222,Jones-Rodriguez,https://miller-jones.com/,Event,Finance,8,82,Yes
L00172,Jason Martin,snguyen@example.net,8023912273,Frazier Ltd,http://www.curry.com/,Email Campaign,Healthcare,10,75,Yes
L00173,Michael Bryant,davidunderwood@example.net,4996517708,Chase-Chavez,https://herring-johnson.com/,Website,Finance,3,64,Yes
L00174,Carlos Graham,bbryant@example.com,7166175805,Curtis Group,https://duffy-mcfarland.net/,LinkedIn,IT,6,94,Yes
L00175,Chad Cline,elizabeth15@example.com,5993965169,Chavez-Webb,https://www.li.com/,Referral,Retail,7,41,Yes
L00176,Brett Hill,april93@example.com,2346598067,Logan-Copeland,http://www.sanders-hoffman.com/,LinkedIn,Healthcare,3,36,No
L00177,Shannon Nash,haley05@example.net,0904559767,"Jordan, Richardson and Davila",http://www.lee-johnston.org/,Email Campaign,Retail,8,66,Yes
L00178,Matthew Bell,ewilson@example.org,7232157892,Mclean-Rodriguez,https://collins.biz/,Email Campaign,IT,9,67,Yes
L00179,Benjamin Hancock,mejiajennifer@example.org,0555341099,Phillips LLC,http://www.miles.com/,LinkedIn,Retail,3,72,No
L00180,Matthew Welch,melissa46@example.com,0423198346,"Esparza, Weaver and Baker",http://www.lewis-pope.com/,Partner,Manufacturing,0,61,No
L00181,Michelle Hernandez,angela47@example.org,7115130966,Kennedy-Carter,http://www.santiago.net/,Email Campaign,IT,10,38,No
L00182,Elizabeth Brown,steven41@example.net,8412351680,"Russell, Smith and Greene",http://www.martinez.info/,Event,IT,8,51,No
L00183,Ashley Scott,maldonadolisa@example.net,2210621119,Watson Group,http://www.ortega-mack.com/,Referral,Retail,0,31,No
L00184,Sheri Lopez,amymiller@example.com,8112555052,"Prince, Cline and Perez",https://garcia.com/,Referral,Finance,7,74,Yes
L00185,Jennifer Martin,jasonjohnson@example.net,7182409446,Taylor LLC,https://www.wilson-pope.com/,Email Campaign,Finance,0,72,No
L00186,Jacqueline Tucker,mooretonya@example.com,7809974947,Sharp-Porter,https://www.fritz.com/,Event,IT,3,42,No
L00187,Anthony Dean,kenneth31@example.com,8124985396,Delgado-Martin,https://henderson.com/,Website,Healthcare,5,20,No
L00188,Amber Walker,shannon41@example.com,2177419888,Mills-Jefferson,http://www.summers-jackson.net/,Email Campaign,Manufacturing,4,65,Yes
L00189,Mr. Joseph Jones,tmartinez@example.org,1200856326,Jordan-Boyd,https://smith.com/,Partner,Healthcare,3,82,Yes
L00190,Chad Hart,jonesray@example.com,3654776789,Smith-Ryan,http://hudson-anderson.biz/,Email Campaign,Healthcare,0,95,Yes
L00191,Thomas Moreno,teresa89@example.com,6553409744,"Martin, Kelly and Willis",https://www.rodriguez-porter.com/,Website,IT,9,61,Yes
L00192,Alexander Bradley,aowens@example.com,7853678169,"Keith, Grant and Martinez",http://reyes.com/,Cold Call,Manufacturing,6,43,No
L00193,Eric Bradford,douglasdickson@example.org,9014327864,"Miller, Chambers and Cooper",http://mosley.com/,Cold Call,Manufacturing,2,40,No
L00194,Samantha Garcia,onealashley@example.org,9375391598,"Thomas, Moon and Gonzales",https://carr-barber.biz/,Cold Call,Finance,0,55,No
L00195,George Brown,ianyoung@example.org,9550534488,"Ward, Grant and Johnson",https://www.johnson-ali.com/,Email Campaign,Finance,2,48,No
L00196,Jacqueline Gardner,jake01@example.com,7426719516,Martinez-Perez,http://www.jones-bauer.com/,Event,Manufacturing,2,43,No
L00197,Fernando West,harrisalicia@example.com,6139964056,Hernandez-Davidson,https://www.solis.net/,Email Campaign,Manufacturing,10,77,Yes
L00198,Danny Everett,yvonne41@example.org,6563908640,"King, Cooper and Mcdonald",http://gordon.com/,LinkedIn,IT,7,68,Yes
L00199,Larry Garcia,carriefoster@example.net,8440467892,Lewis LLC,http://murphy-hall.com/,Event,Manufacturing,10,37,No
L00200,Heidi Perry,velezheather@example.com,1820897636,Robinson-Davis,https://www.hodges-robertson.com/,Cold Call,Retail,2,58,No
L00201,Brent Mendez,garrett70@example.com,2564128487,Sanders-Sims,http://hudson.com/,Partner,Healthcare,6,89,Yes
L00202,Andrea Jordan,xflores@example.com,8469512639,Zimmerman and Sons,https://hayden-mclaughlin.com/,Email Campaign,Education,7,33,No
L00203,Kenneth Roth,gainesbrandon@example.org,3798925858,Cooper-Clark,https://www.benjamin-weiss.com/,LinkedIn,Finance,6,63,Yes
L00204,Christine Parker,adamwong@example.net,2039281583,"Chapman, Mitchell and Alvarez",http://kerr.biz/,Partner,IT,8,64,Yes
L00205,Jessica Mckay,xsoto@example.com,8699268282,Walker-Santos,http://russell.org/,Email Campaign,IT,0,34,No
L00206,Cynthia Pierce,woodwardjoshua@example.com,7896998649,Parker PLC,https://davis-figueroa.info/,Website,Retail,6,48,No
L00207,Bridget Obrien,jackiejohnson@example.net,0181132188,"Oneill, Jackson and Martinez",http://www.king-graves.com/,LinkedIn,IT,2,84,Yes
L00208,Gary Abbott,mark76@example.net,7095160109,"Jackson, Thomas and Duffy",http://www.harvey-walker.net/,Partner,Retail,5,66,Yes
L00209,Lucas Cunningham,dtucker@example.org,4806061274,Ward LLC,https://young.com/,Partner,Finance,6,29,Yes
L00210,Michelle Allen,anthonytodd@example.net,4931207443,"Carter, Bailey and Jones",https://www.ramirez-matthews.com/,LinkedIn,IT,2,70,No
L00211,Luis Griffin,wrussell@example.net,0552201581,"Andrews, Hayes and Stark",http://www.harrell-king.com/,Email Campaign,Retail,8,39,No
L00212,Mrs. Jennifer Hodge,amanda54@example.net,0654840978,Scott-Perry,https://www.johnson.com/,Website,IT,10,50,Yes
